date,datetime,temp,precip,windspeed,winddir,visibility,cloudcover,conditions
2024-12-03,2024-12-03T09:00:00,3.0,0.0,0.0,0.0,9.0,25.0,Partially cloudy
2024-12-03,2024-12-03T10:00:00,6.0,0.0,3.6,11.0,10.0,25.0,Partially cloudy
2024-12-03,2024-12-03T11:00:00,8.0,0.0,0.0,360.0,10.0,39.7,Partially cloudy
2024-12-03,2024-12-03T12:00:00,10.9,0.0,0.0,360.0,10.0,37.9,Partially cloudy
2024-12-03,2024-12-03T13:00:00,13.0,0.0,1.8,188.0,10.0,2.3,Clear
2024-12-03,2024-12-03T14:00:00,14.0,0.0,3.6,130.0,10.0,30.0,Partially cloudy
2024-12-03,2024-12-03T15:00:00,15.9,0.0,7.6,160.0,10.0,48.4,Partially cloudy
2024-12-03,2024-12-03T16:00:00,15.9,0.0,9.4,190.0,10.0,86.7,Partially cloudy
2024-12-03,2024-12-03T17:00:00,14.9,0.0,18.4,270.0,10.0,50.0,Partially cloudy
2024-12-03,2024-12-03T18:00:00,13.9,0.0,14.8,250.0,10.0,25.0,Partially cloudy
2024-12-03,2024-12-03T19:00:00,12.9,0.0,14.8,260.0,10.0,50.0,Partially cloudy
2024-12-03,2024-12-03T20:00:00,12.9,0.0,14.8,260.0,10.0,88.0,Partially cloudy
2024-12-03,2024-12-03T21:00:00,11.9,0.0,13.0,250.0,10.0,50.0,Partially cloudy
2024-12-03,2024-12-03T22:00:00,10.9,0.0,13.0,260.0,10.0,25.0,Partially cloudy
2024-12-03,2024-12-03T23:00:00,11.9,0.007,14.8,270.0,10.0,88.0,"Rain, Partially cloudy"
2024-12-04,2024-12-04T00:00:00,10.9,0.0,1.8,225.0,10.0,25.0,Partially cloudy
2024-12-04,2024-12-04T01:00:00,8.9,0.022,5.4,150.0,10.0,50.0,"Rain, Partially cloudy"
2024-12-04,2024-12-04T02:00:00,8.9,0.003,5.4,140.0,10.0,50.0,"Rain, Partially cloudy"
2024-12-04,2024-12-04T03:00:00,10.0,0.03,9.4,130.0,10.0,88.0,"Rain, Partially cloudy"
2024-12-04,2024-12-04T04:00:00,11.0,0.0,11.2,270.0,10.0,50.0,Partially cloudy
2024-12-04,2024-12-04T05:00:00,11.0,0.022,9.4,10.0,10.0,50.0,"Rain, Partially cloudy"
2024-12-04,2024-12-04T06:00:00,8.9,0.015,7.6,130.0,10.0,25.0,"Rain, Partially cloudy"
2024-12-04,2024-12-04T07:00:00,8.0,0.0,7.6,100.0,10.0,50.0,Partially cloudy
2024-12-04,2024-12-04T08:00:00,6.0,0.0,0.0,360.0,10.0,25.0,Partially cloudy
2024-12-04,2024-12-04T09:00:00,8.9,0.0,3.6,290.0,10.0,25.0,Partially cloudy
2024-12-04,2024-12-04T10:00:00,11.9,0.0,24.1,10.0,10.0,25.0,Partially cloudy
2024-12-04,2024-12-04T11:00:00,12.0,0.0,24.1,20.0,10.0,25.0,Partially cloudy
2024-12-04,2024-12-04T12:00:00,13.0,0.0,16.6,20.0,10.0,25.0,Partially cloudy
2024-12-04,2024-12-04T13:00:00,14.0,0.0,13.0,10.0,10.0,25.0,Partially cloudy
2024-12-04,2024-12-04T14:00:00,14.0,0.0,13.0,350.0,10.0,25.0,Partially cloudy
2024-12-04,2024-12-04T15:00:00,15.0,0.0,5.4,70.0,10.0,25.0,Partially cloudy
2024-12-04,2024-12-04T16:00:00,14.0,0.0,7.6,50.0,10.0,10.5,Clear
2024-12-04,2024-12-04T17:00:00,13.9,0.0,1.8,89.0,10.0,40.0,Partially cloudy
2024-12-04,2024-12-04T18:00:00,10.9,0.0,0.0,0.0,10.0,80.0,Partially cloudy
2024-12-04,2024-12-04T19:00:00,10.9,0.0,0.0,360.0,10.0,47.2,Partially cloudy
2024-12-04,2024-12-04T20:00:00,8.0,0.0,0.0,360.0,10.0,90.0,Partially cloudy
2024-12-04,2024-12-04T21:00:00,7.0,0.0,5.4,10.0,10.0,90.0,Partially cloudy
2024-12-04,2024-12-04T22:00:00,6.0,0.0,0.0,360.0,10.0,90.0,Partially cloudy
2024-12-04,2024-12-04T23:00:00,5.9,0.0,0.0,360.0,10.0,50.0,Partially cloudy
2024-12-05,2024-12-05T00:00:00,4.6,0.0,2.1,115.0,28.0,50.0,Partially cloudy
2024-12-05,2024-12-05T01:00:00,5.2,0.0,0.5,311.0,28.0,90.0,Partially cloudy
2024-12-05,2024-12-05T02:00:00,5.0,0.0,7.0,318.0,28.0,100.0,Overcast
2024-12-05,2024-12-05T03:00:00,5.4,0.0,7.4,119.0,28.0,100.0,Overcast
2024-12-05,2024-12-05T04:00:00,4.8,0.0,5.4,9.0,27.9,100.0,Overcast
2024-12-05,2024-12-05T05:00:00,5.2,0.0,0.2,10.0,28.0,100.0,Overcast
2024-12-05,2024-12-05T06:00:00,5.4,0.0,5.1,22.0,28.0,100.0,Overcast
2024-12-05,2024-12-05T07:00:00,5.4,0.0,1.5,53.0,28.2,95.6,Overcast
2024-12-05,2024-12-05T08:00:00,4.7,0.0,3.5,95.0,27.3,80.0,Partially cloudy
2024-12-05,2024-12-05T09:00:00,3.7,0.0,0.3,335.0,27.4,60.0,Partially cloudy
2024-12-05,2024-12-05T10:00:00,6.9,0.0,0.3,46.0,28.5,39.1,Partially cloudy
2024-12-05,2024-12-05T11:00:00,8.7,0.0,3.6,216.0,27.4,49.3,Partially cloudy
2024-12-05,2024-12-05T12:00:00,10.7,0.0,2.0,274.0,27.6,39.7,Partially cloudy
2024-12-05,2024-12-05T13:00:00,13.0,0.0,3.5,137.0,29.0,30.1,Partially cloudy
2024-12-05,2024-12-05T14:00:00,14.5,0.0,7.0,201.0,27.2,39.7,Partially cloudy
2024-12-05,2024-12-05T15:00:00,15.2,0.0,5.4,216.0,27.5,78.3,Partially cloudy
2024-12-05,2024-12-05T16:00:00,14.5,0.0,10.5,202.0,28.8,78.4,Partially cloudy
2024-12-05,2024-12-05T17:00:00,12.9,0.0,7.5,176.0,27.5,90.0,Partially cloudy
2024-12-05,2024-12-05T18:00:00,11.0,0.0,7.2,156.0,27.4,80.0,Partially cloudy
2024-12-05,2024-12-05T19:00:00,10.7,0.0,5.3,130.0,28.6,89.1,Partially cloudy
2024-12-05,2024-12-05T20:00:00,9.5,0.0,5.2,130.0,28.0,90.0,Partially cloudy
2024-12-05,2024-12-05T21:00:00,8.1,0.0,3.8,100.0,28.0,60.0,Partially cloudy
2024-12-05,2024-12-05T22:00:00,8.3,0.0,6.9,160.0,22.7,0.0,Clear
2024-12-05,2024-12-05T23:00:00,7.0,0.0,5.2,3.0,28.0,0.0,Clear
2024-12-06,2024-12-06T00:00:00,6.3,0.0,0.4,250.0,17.3,0.0,Clear
2024-12-06,2024-12-06T01:00:00,6.1,0.0,0.5,206.0,17.3,100.0,Overcast
2024-12-06,2024-12-06T02:00:00,5.8,0.0,2.2,114.0,14.6,100.0,Overcast
2024-12-06,2024-12-06T03:00:00,5.8,0.0,0.5,180.0,14.6,100.0,Overcast
2024-12-06,2024-12-06T04:00:00,5.5,0.0,7.0,332.0,13.7,100.0,Overcast
2024-12-06,2024-12-06T05:00:00,5.1,0.0,0.5,20.0,11.0,90.0,Partially cloudy
2024-12-06,2024-12-06T06:00:00,4.5,0.0,0.2,47.0,11.8,85.8,Partially cloudy
2024-12-06,2024-12-06T07:00:00,4.3,0.0,5.3,9.0,10.7,85.7,Partially cloudy
2024-12-06,2024-12-06T08:00:00,4.5,0.0,7.1,311.0,11.7,57.2,Partially cloudy
2024-12-06,2024-12-06T09:00:00,4.5,0.0,0.4,120.0,10.0,74.8,Partially cloudy
2024-12-06,2024-12-06T10:00:00,7.0,0.0,0.4,34.0,15.2,86.7,Partially cloudy
2024-12-06,2024-12-06T11:00:00,8.6,0.0,0.4,56.0,14.5,78.3,Partially cloudy
2024-12-06,2024-12-06T12:00:00,10.8,0.0,1.9,360.0,17.9,88.0,Partially cloudy
2024-12-06,2024-12-06T13:00:00,13.4,0.0,0.3,74.0,18.9,47.2,Partially cloudy
2024-12-06,2024-12-06T14:00:00,14.6,0.0,0.4,201.0,14.5,39.7,Partially cloudy
2024-12-06,2024-12-06T15:00:00,15.9,0.0,5.1,161.0,27.5,49.3,Partially cloudy
2024-12-06,2024-12-06T16:00:00,16.6,0.0,5.1,130.0,23.4,48.4,Partially cloudy
2024-12-06,2024-12-06T17:00:00,16.6,0.0,7.1,180.0,21.4,30.0,Partially cloudy
2024-12-06,2024-12-06T18:00:00,13.2,0.0,7.2,163.0,17.1,30.0,Partially cloudy
2024-12-06,2024-12-06T19:00:00,12.2,0.0,3.7,195.0,18.2,28.2,Partially cloudy
2024-12-06,2024-12-06T20:00:00,11.2,0.0,3.8,160.0,14.6,10.0,Clear
2024-12-06,2024-12-06T21:00:00,10.1,0.0,5.5,147.0,14.6,30.0,Partially cloudy
2024-12-06,2024-12-06T22:00:00,9.1,0.0,0.1,290.0,14.6,40.0,Partially cloudy
2024-12-06,2024-12-06T23:00:00,7.8,0.0,3.8,8.0,7.4,0.0,Clear
2024-12-07,2024-12-07T00:00:00,7.2,0.0,6.9,15.0,6.5,40.0,Partially cloudy
2024-12-07,2024-12-07T01:00:00,6.2,0.0,0.5,337.0,6.2,9.5,Clear
2024-12-07,2024-12-07T02:00:00,5.5,0.0,0.4,350.0,4.6,10.0,Clear
2024-12-07,2024-12-07T03:00:00,4.8,0.0,1.8,1.0,4.8,30.0,Partially cloudy
2024-12-07,2024-12-07T04:00:00,4.3,0.0,3.6,301.0,4.7,51.9,Partially cloudy
2024-12-07,2024-12-07T05:00:00,4.6,0.0,0.3,193.0,1.0,80.9,Partially cloudy
2024-12-07,2024-12-07T06:00:00,5.2,0.0,0.3,141.0,0.1,90.0,Partially cloudy
2024-12-07,2024-12-07T07:00:00,5.5,0.0,0.5,238.0,0.4,40.0,Partially cloudy
2024-12-07,2024-12-07T08:00:00,5.6,0.0,0.6,302.0,0.5,50.0,Partially cloudy
2024-12-07,2024-12-07T09:00:00,6.4,0.0,1.2,302.0,1.2,30.0,Partially cloudy
2024-12-07,2024-12-07T10:00:00,7.1,0.0,2.9,205.0,2.5,41.7,Partially cloudy
2024-12-07,2024-12-07T11:00:00,7.9,0.0,1.8,331.0,2.1,30.0,Partially cloudy
2024-12-07,2024-12-07T12:00:00,9.8,0.0,5.8,136.0,5.6,74.9,Partially cloudy
2024-12-07,2024-12-07T13:00:00,14.0,0.0,4.6,190.0,21.2,30.5,Partially cloudy
2024-12-07,2024-12-07T14:00:00,16.5,0.0,18.0,326.0,27.5,30.0,Partially cloudy
2024-12-07,2024-12-07T15:00:00,17.9,0.0,6.9,84.0,27.5,11.6,Clear
2024-12-07,2024-12-07T16:00:00,17.0,0.0,17.5,271.0,29.0,11.0,Clear
2024-12-07,2024-12-07T17:00:00,15.7,0.0,20.9,272.0,27.5,10.0,Clear
2024-12-07,2024-12-07T18:00:00,13.6,0.0,17.6,262.0,27.5,10.0,Clear
2024-12-07,2024-12-07T19:00:00,12.1,0.0,17.4,245.0,29.7,0.4,Clear
2024-12-07,2024-12-07T20:00:00,10.3,0.0,2.8,293.0,28.0,0.0,Clear
2024-12-07,2024-12-07T21:00:00,9.6,0.0,9.9,65.0,28.0,0.0,Clear
2024-12-07,2024-12-07T22:00:00,10.1,0.0,28.5,352.0,28.0,0.0,Clear
2024-12-07,2024-12-07T23:00:00,10.0,0.0,19.4,2.0,28.0,10.0,Clear
2024-12-08,2024-12-08T00:00:00,8.8,0.0,5.3,93.0,28.0,10.0,Clear
2024-12-08,2024-12-08T01:00:00,7.6,0.0,5.3,74.0,28.0,0.0,Clear
2024-12-08,2024-12-08T02:00:00,7.0,0.0,16.4,202.0,28.0,0.0,Clear
2024-12-08,2024-12-08T03:00:00,4.6,0.0,1.3,314.0,28.0,0.0,Clear
2024-12-08,2024-12-08T04:00:00,3.9,0.0,12.1,148.0,28.0,0.0,Clear
2024-12-08,2024-12-08T05:00:00,3.5,0.0,9.6,216.0,28.0,0.0,Clear
2024-12-08,2024-12-08T06:00:00,2.6,0.0,2.9,23.0,28.0,0.0,Clear
2024-12-08,2024-12-08T07:00:00,2.3,0.0,4.4,319.0,19.5,9.1,Clear
2024-12-08,2024-12-08T08:00:00,5.6,0.0,6.0,57.0,19.1,10.0,Clear
2024-12-08,2024-12-08T09:00:00,4.9,0.0,6.5,210.0,27.5,12.3,Clear
2024-12-08,2024-12-08T10:00:00,6.9,0.0,6.7,235.0,27.9,47.3,Partially cloudy
2024-12-08,2024-12-08T11:00:00,8.7,0.0,11.6,255.0,27.5,39.4,Partially cloudy
2024-12-08,2024-12-08T12:00:00,10.2,0.0,28.3,346.0,27.5,39.8,Partially cloudy
2024-12-08,2024-12-08T13:00:00,10.4,0.0,29.0,338.0,28.1,28.8,Partially cloudy
2024-12-08,2024-12-08T14:00:00,10.9,0.0,28.7,339.0,27.5,49.0,Partially cloudy
2024-12-08,2024-12-08T15:00:00,10.5,0.0,34.3,341.0,27.5,59.2,Partially cloudy
2024-12-08,2024-12-08T16:00:00,10.7,0.0,29.3,346.0,27.9,75.9,Partially cloudy
2024-12-08,2024-12-08T17:00:00,9.6,0.0,16.7,338.0,27.5,50.0,Partially cloudy
2024-12-08,2024-12-08T18:00:00,8.6,0.0,17.9,337.0,27.5,59.2,Partially cloudy
2024-12-08,2024-12-08T19:00:00,6.3,0.0,17.9,354.0,27.9,30.6,Partially cloudy
2024-12-08,2024-12-08T20:00:00,4.9,0.0,6.3,184.0,28.0,30.0,Partially cloudy
2024-12-08,2024-12-08T21:00:00,6.3,0.0,21.0,339.0,28.0,30.0,Partially cloudy
2024-12-08,2024-12-08T22:00:00,4.1,0.0,4.7,18.0,28.0,10.0,Clear
2024-12-08,2024-12-08T23:00:00,3.4,0.0,8.6,38.0,28.0,40.0,Partially cloudy
2025-01-01,2025-01-01T00:00:00,0.7,0.0,6.8,10.0,21.8,0.0,Clear
2025-01-01,2025-01-01T01:00:00,-0.1,0.0,3.4,317.0,18.2,10.0,Clear
2025-01-01,2025-01-01T02:00:00,-0.4,0.0,0.1,50.0,16.4,33.7,Partially cloudy
2025-01-01,2025-01-01T03:00:00,-0.4,0.0,3.6,6.0,11.0,43.4,Partially cloudy
2025-01-01,2025-01-01T04:00:00,-0.4,0.0,7.1,339.0,18.1,39.1,Partially cloudy
2025-01-01,2025-01-01T05:00:00,-1.5,0.0,7.2,12.0,10.1,10.0,Clear
2025-01-01,2025-01-01T06:00:00,-1.7,0.0,7.3,360.0,11.9,0.0,Clear
2025-01-01,2025-01-01T07:00:00,-1.9,0.089,3.5,12.0,12.9,0.0,"Snow, Rain"
2025-01-01,2025-01-01T08:00:00,-2.2,0.0,5.1,354.0,12.8,0.0,Clear
2025-01-01,2025-01-01T09:00:00,-2.3,0.0,5.1,351.0,14.5,1.0,Clear
2025-01-01,2025-01-01T10:00:00,-0.2,0.0,0.6,58.0,21.8,1.4,Clear
2025-01-01,2025-01-01T11:00:00,2.1,0.0,3.5,335.0,25.7,1.0,Clear
2025-01-01,2025-01-01T12:00:00,5.5,0.0,0.5,13.0,18.8,14.3,Clear
2025-01-01,2025-01-01T13:00:00,8.1,0.0,0.2,51.0,21.7,41.0,Partially cloudy
2025-01-01,2025-01-01T14:00:00,10.7,0.0,3.7,203.0,27.5,39.7,Partially cloudy
2025-01-01,2025-01-01T15:00:00,11.9,0.0,2.4,191.0,27.5,48.4,Partially cloudy
2025-01-01,2025-01-01T16:00:00,11.2,0.0,10.7,157.0,29.0,48.0,Partially cloudy
2025-01-01,2025-01-01T17:00:00,10.6,0.0,10.2,171.0,27.5,39.2,Partially cloudy
2025-01-01,2025-01-01T18:00:00,8.2,0.0,5.3,156.0,27.5,10.7,Clear
2025-01-01,2025-01-01T19:00:00,5.8,0.0,0.3,249.0,29.7,1.3,Clear
2025-01-01,2025-01-01T20:00:00,4.2,0.0,0.1,170.0,28.0,0.0,Clear
2025-01-01,2025-01-01T21:00:00,3.6,0.0,6.9,5.0,28.0,0.0,Clear
2025-01-01,2025-01-01T22:00:00,1.4,0.0,8.6,318.0,28.0,0.0,Clear
2025-01-01,2025-01-01T23:00:00,1.1,0.0,6.9,330.0,11.9,30.0,Partially cloudy
2025-01-02,2025-01-02T00:00:00,1.0,0.0,5.0,12.0,28.0,40.0,Partially cloudy
2025-01-02,2025-01-02T01:00:00,0.8,0.0,0.1,180.0,14.6,57.2,Partially cloudy
2025-01-02,2025-01-02T02:00:00,0.7,0.0,3.2,139.0,10.1,58.6,Partially cloudy
2025-01-02,2025-01-02T03:00:00,0.2,0.0,0.0,10.0,9.2,60.0,Partially cloudy
2025-01-02,2025-01-02T04:00:00,-0.3,0.0,1.6,312.0,11.0,30.0,Partially cloudy
2025-01-02,2025-01-02T05:00:00,-1.2,0.0,0.1,90.0,10.1,0.0,Clear
2025-01-02,2025-01-02T06:00:00,-1.1,0.0,5.0,332.0,6.6,30.0,Partially cloudy
2025-01-02,2025-01-02T07:00:00,-1.3,0.0,0.1,34.0,6.7,9.4,Clear
2025-01-02,2025-01-02T08:00:00,-1.5,0.0,6.6,360.0,6.6,27.3,Partially cloudy
2025-01-02,2025-01-02T09:00:00,-1.5,0.0,4.9,342.0,7.3,27.2,Partially cloudy
2025-01-02,2025-01-02T10:00:00,0.4,0.0,4.9,344.0,18.8,5.3,Clear
2025-01-02,2025-01-02T11:00:00,2.7,0.0,6.7,312.0,21.4,0.0,Clear
2025-01-02,2025-01-02T12:00:00,5.7,0.0,0.4,310.0,27.4,28.6,Partially cloudy
2025-01-02,2025-01-02T13:00:00,9.0,0.0,2.0,204.0,16.2,32.4,Partially cloudy
2025-01-02,2025-01-02T14:00:00,10.5,0.0,9.3,173.0,27.5,30.0,Partially cloudy
2025-01-02,2025-01-02T15:00:00,11.4,0.0,9.4,212.0,27.5,30.0,Partially cloudy
2025-01-02,2025-01-02T16:00:00,10.5,0.0,12.7,212.0,27.5,60.4,Partially cloudy
2025-01-02,2025-01-02T17:00:00,10.9,0.0,11.2,221.0,27.5,30.0,Partially cloudy
2025-01-02,2025-01-02T18:00:00,9.1,0.0,9.3,240.0,27.5,49.3,Partially cloudy
2025-01-02,2025-01-02T19:00:00,7.2,0.0,5.8,249.0,27.6,56.3,Partially cloudy
2025-01-02,2025-01-02T20:00:00,5.4,0.0,3.9,221.0,28.0,60.0,Partially cloudy
2025-01-02,2025-01-02T21:00:00,4.9,0.0,5.9,142.0,20.0,100.0,Overcast
2025-01-02,2025-01-02T22:00:00,3.7,0.0,7.6,159.0,11.0,90.0,Partially cloudy
2025-01-02,2025-01-02T23:00:00,3.3,0.0,1.2,228.0,11.9,90.0,Partially cloudy
2025-01-03,2025-01-03T00:00:00,2.8,0.0,4.0,353.0,11.9,90.0,Partially cloudy
2025-01-03,2025-01-03T01:00:00,1.5,0.0,0.5,210.0,9.2,90.0,Partially cloudy
2025-01-03,2025-01-03T02:00:00,1.3,0.0,0.4,182.0,10.1,82.4,Partially cloudy
2025-01-03,2025-01-03T03:00:00,0.0,0.0,3.3,41.0,5.6,80.0,Partially cloudy
2025-01-03,2025-01-03T04:00:00,-0.8,0.0,3.5,190.0,10.0,82.1,Partially cloudy
2025-01-03,2025-01-03T05:00:00,-0.8,0.0,3.3,345.0,5.9,54.4,Partially cloudy
2025-01-03,2025-01-03T06:00:00,-1.0,0.0,3.5,347.0,8.9,73.9,Partially cloudy
2025-01-03,2025-01-03T07:00:00,-1.2,0.0,0.1,197.0,4.4,55.2,Partially cloudy
2025-01-03,2025-01-03T08:00:00,-1.0,0.0,6.8,355.0,8.0,58.6,Partially cloudy
2025-01-03,2025-01-03T09:00:00,-0.9,0.0,3.4,23.0,5.3,58.5,Partially cloudy
2025-01-03,2025-01-03T10:00:00,0.4,0.0,3.4,1.0,9.6,87.2,Partially cloudy
2025-01-03,2025-01-03T11:00:00,2.5,0.0,0.3,340.0,10.3,58.5,Partially cloudy
2025-01-03,2025-01-03T12:00:00,5.1,0.0,3.5,251.0,13.2,73.4,Partially cloudy
2025-01-03,2025-01-03T13:00:00,6.6,0.0,0.7,285.0,13.4,96.9,Overcast
2025-01-03,2025-01-03T14:00:00,7.6,0.0,4.4,160.0,12.4,84.0,Partially cloudy
2025-01-03,2025-01-03T15:00:00,8.4,0.0,4.7,6.0,9.9,96.6,Overcast
2025-01-03,2025-01-03T16:00:00,8.7,0.0,6.0,268.0,16.9,90.0,Partially cloudy
2025-01-03,2025-01-03T17:00:00,8.3,0.0,2.5,360.0,10.8,100.0,Overcast
2025-01-03,2025-01-03T18:00:00,7.2,0.0,8.8,330.0,8.1,95.9,Overcast
2025-01-03,2025-01-03T19:00:00,6.5,0.087,5.3,342.0,6.0,96.0,"Rain, Overcast"
2025-01-03,2025-01-03T20:00:00,6.2,0.0,7.6,347.0,8.2,96.4,Overcast
2025-01-03,2025-01-03T21:00:00,4.8,0.0,5.1,331.0,5.5,100.0,Overcast
2025-01-03,2025-01-03T22:00:00,4.2,0.0,0.4,189.0,5.5,100.0,Overcast
2025-01-03,2025-01-03T23:00:00,3.5,0.0,0.3,146.0,5.5,40.0,Partially cloudy
2025-01-04,2025-01-04T00:00:00,2.6,0.0,7.1,23.0,1.6,50.0,Partially cloudy
2025-01-04,2025-01-04T01:00:00,1.8,0.0,0.0,180.0,1.6,36.3,Partially cloudy
2025-01-04,2025-01-04T02:00:00,0.4,0.0,7.0,13.0,1.0,58.1,Partially cloudy
2025-01-04,2025-01-04T03:00:00,0.9,0.0,7.2,344.0,1.7,0.0,Clear
2025-01-04,2025-01-04T04:00:00,1.4,0.0,5.3,352.0,0.9,97.5,Overcast
2025-01-04,2025-01-04T05:00:00,2.2,0.0,3.5,31.0,1.0,96.9,Overcast
2025-01-04,2025-01-04T06:00:00,2.2,0.0,7.1,337.0,0.1,95.1,Overcast
2025-01-04,2025-01-04T07:00:00,2.8,0.0,0.4,51.0,0.2,100.0,Overcast
